Distance Packets_Sent Packets_Received
5.116445266 34.0 15
7.56839022514 32.0 22
16.4704850202 30.0 2
4.10946567816 34.0 24
6.55620202556 32.0 9
15.4552268958 30.0 18
3.10836229549 34.0 17
5.54540813647 32.0 2
14.44007313 30.0 2
2.12147028261 34.0 27
4.53694057708 32.0 6
13.4250473966 30.0 2
1.18484942503 34.0 25
3.53279212522 32.0 20
12.4101811107 30.0 23
0.6096 34.0 24
2.53809428509 32.0 27
11.3955168729 30.0 5
1.80768786022 34.0 24
3.10836229549 32.0 28
9.69658099126 30.0 11
2.78532744933 34.0 21
2.12147028261 32.0 29
8.68282569905 30.0 22
3.78323599581 34.0 25
1.18484942503 32.0 29
7.66966448549 30.0 26
4.78875894152 34.0 24
0.6096 32.0 30
6.65736858826 30.0 11
5.79793599482 34.0 26
1.18484942503 32.0 31
5.64640343227 30.0 1
7.34055605523 34.0 2
2.63683319912 32.0 27
4.10946567816 30.0 30
8.3534726671 34.0 25
3.63291042004 32.0 30
3.10836229549 30.0 29
9.36705716861 34.0 10
4.63763936933 32.0 21
2.12147028261 30.0 19
10.3811139287 34.0 19
5.64640343227 32.0 27
1.18484942503 30.0 29
11.3955168729 34.0 14
6.65736858826 32.0 28
0.6096 30.0 28
0.6096 31.0 28
3.10836229549 33.0 21
12.4101811107 30.0 2
1.18484942503 31.0 29
2.12147028261 33.0 25
11.3955168729 30.0 5
2.12147028261 31.0 28
1.18484942503 33.0 23
10.3811139287 30.0 3
3.10836229549 31.0 29
0.6096 33.0 26
9.36705716861 30.0 2
4.10946567816 31.0 15
1.18484942503 33.0 27
8.3534726671 30.0 5
5.116445266 31.0 15
2.12147028261 33.0 20
7.34055605523 30.0 8
17.4858293255 31.0 8
14.44007313 33.0 19
5.116445266 30.0 6
16.4704850202 31.0 5
13.4250473966 33.0 25
4.10946567816 30.0 24
15.4552268958 31.0 21
12.4101811107 33.0 25
3.10836229549 30.0 16
14.44007313 31.0 2
11.3955168729 33.0 10
2.12147028261 30.0 20
13.4250473966 31.0 1
10.3811139287 33.0 22
1.18484942503 30.0 23
12.4101811107 31.0 4
9.36705716861 33.0 1
0.6096 30.0 27
13.4250473966 31.0 1
10.3811139287 33.0 1
1.18484942503 30.0 28
14.44007313 31.0 7
11.3955168729 33.0 3
2.12147028261 30.0 29
15.4552268958 31.0 1
12.4101811107 33.0 7
3.10836229549 30.0 17
16.4704850202 31.0 4
13.4250473966 33.0 2
4.10946567816 30.0 28
0.6096 31.0 30
3.10836229549 33.0 22
12.4101811107 30.0 2
1.18484942503 31.0 28
2.12147028261 33.0 27
11.3955168729 30.0 1
2.12147028261 31.0 30
1.18484942503 33.0 24
10.3811139287 30.0 1
3.10836229549 31.0 25
0.6096 33.0 25
9.36705716861 30.0 23
4.10946567816 31.0 20
1.18484942503 33.0 24
8.3534726671 30.0 5
5.116445266 31.0 29
2.12147028261 33.0 28
7.34055605523 30.0 11
17.4858293255 31.0 12
14.44007313 33.0 22
5.116445266 30.0 28
16.4704850202 31.0 3
13.4250473966 33.0 13
4.10946567816 30.0 23
15.4552268958 31.0 11
12.4101811107 33.0 19
3.10836229549 30.0 29
14.44007313 31.0 1
11.3955168729 33.0 23
2.12147028261 30.0 25
13.4250473966 31.0 13
10.3811139287 33.0 21
1.18484942503 30.0 26
12.4101811107 31.0 1
9.36705716861 33.0 17
0.6096 30.0 28
13.4250473966 31.0 3
10.3811139287 33.0 2
1.18484942503 30.0 29
14.44007313 31.0 3
11.3955168729 33.0 11
2.12147028261 30.0 28
15.4552268958 31.0 1
12.4101811107 33.0 1
3.10836229549 30.0 29
16.4704850202 31.0 1
13.4250473966 33.0 5
4.10946567816 30.0 29
4.10946567816 31.0 12
7.56839022514 32.0 24
14.44007313 32.0 6
3.10836229549 31.0 28
6.55620202556 32.0 23
13.4250473966 32.0 2
2.12147028261 31.0 20
5.54540813647 32.0 25
12.4101811107 32.0 3
1.18484942503 31.0 27
4.53694057708 32.0 23
11.3955168729 32.0 2
0.6096 31.0 30
3.53279212522 32.0 25
10.3811139287 32.0 9
1.18484942503 31.0 26
2.53809428509 32.0 13
9.36705716861 32.0 28
13.4250473966 31.0 29
7.66966448549 32.0 31
7.13807790375 32.0 17
12.4101811107 31.0 24
6.65736858826 32.0 30
6.12640417864 32.0 29
11.3955168729 31.0 26
5.64640343227 32.0 28
5.116445266 32.0 23
10.3811139287 31.0 9
4.63763936933 32.0 25
4.10946567816 32.0 16
9.36705716861 31.0 6
3.63291042004 32.0 30
3.10836229549 32.0 16
8.3534726671 31.0 1
2.63683319912 32.0 12
2.12147028261 32.0 22
9.36705716861 31.0 1
3.63291042004 32.0 21
1.18484942503 32.0 30
10.3811139287 31.0 1
4.63763936933 32.0 10
0.6096 32.0 31
11.3955168729 31.0 1
5.64640343227 32.0 19
1.18484942503 32.0 26
12.4101811107 31.0 2
6.65736858826 32.0 5
2.12147028261 32.0 29
