Distance Packets_Sent Packets_Received
5.116445266 305.0 19
7.56839022514 277.0 1
16.4704850202 271.0 1
4.10946567816 305.0 1
6.55620202556 277.0 1
15.4552268958 271.0 1
3.10836229549 305.0 168
5.54540813647 277.0 1
14.44007313 271.0 1
2.12147028261 305.0 175
4.53694057708 277.0 1
13.4250473966 271.0 1
1.18484942503 305.0 173
3.53279212522 277.0 1
12.4101811107 271.0 1
0.6096 305.0 266
2.53809428509 277.0 1
11.3955168729 271.0 1
1.80768786022 305.0 2
3.10836229549 277.0 243
9.69658099126 271.0 1
2.78532744933 305.0 129
2.12147028261 277.0 127
8.68282569905 271.0 1
3.78323599581 305.0 134
1.18484942503 277.0 161
7.66966448549 271.0 1
4.78875894152 305.0 7
0.6096 277.0 229
6.65736858826 271.0 1
5.79793599482 305.0 3
1.18484942503 277.0 228
5.64640343227 271.0 1
7.34055605523 305.0 1
2.63683319912 277.0 147
4.10946567816 271.0 140
8.3534726671 305.0 1
3.63291042004 277.0 9
3.10836229549 271.0 24
9.36705716861 305.0 1
4.63763936933 277.0 1
2.12147028261 271.0 32
10.3811139287 305.0 1
5.64640343227 277.0 1
1.18484942503 271.0 25
11.3955168729 305.0 3
6.65736858826 277.0 8
0.6096 271.0 240
0.6096 293.0 230
3.10836229549 276.0 24
12.4101811107 276.0 1
1.18484942503 293.0 211
2.12147028261 276.0 209
11.3955168729 276.0 1
2.12147028261 293.0 194
1.18484942503 276.0 210
10.3811139287 276.0 1
3.10836229549 293.0 4
0.6096 276.0 234
9.36705716861 276.0 1
4.10946567816 293.0 66
1.18484942503 276.0 169
8.3534726671 276.0 18
5.116445266 293.0 1
2.12147028261 276.0 197
7.34055605523 276.0 1
17.4858293255 293.0 1
14.44007313 276.0 1
5.116445266 276.0 178
16.4704850202 293.0 1
13.4250473966 276.0 1
4.10946567816 276.0 162
15.4552268958 293.0 1
12.4101811107 276.0 1
3.10836229549 276.0 1
14.44007313 293.0 1
11.3955168729 276.0 1
2.12147028261 276.0 32
13.4250473966 293.0 1
10.3811139287 276.0 1
1.18484942503 276.0 206
12.4101811107 293.0 1
9.36705716861 276.0 1
0.6096 276.0 231
13.4250473966 293.0 1
10.3811139287 276.0 1
1.18484942503 276.0 213
14.44007313 293.0 1
11.3955168729 276.0 1
2.12147028261 276.0 185
15.4552268958 293.0 1
12.4101811107 276.0 1
3.10836229549 276.0 29
16.4704850202 293.0 1
13.4250473966 276.0 1
4.10946567816 276.0 59
0.6096 293.0 168
3.10836229549 276.0 212
12.4101811107 276.0 1
1.18484942503 293.0 199
2.12147028261 276.0 26
11.3955168729 276.0 1
2.12147028261 293.0 46
1.18484942503 276.0 208
10.3811139287 276.0 1
3.10836229549 293.0 235
0.6096 276.0 88
9.36705716861 276.0 1
4.10946567816 293.0 15
1.18484942503 276.0 139
8.3534726671 276.0 1
5.116445266 293.0 2
2.12147028261 276.0 69
7.34055605523 276.0 9
17.4858293255 293.0 9
14.44007313 276.0 39
5.116445266 276.0 49
16.4704850202 293.0 1
13.4250473966 276.0 7
4.10946567816 276.0 34
15.4552268958 293.0 1
12.4101811107 276.0 38
3.10836229549 276.0 1
14.44007313 293.0 1
11.3955168729 276.0 1
2.12147028261 276.0 139
13.4250473966 293.0 1
10.3811139287 276.0 1
1.18484942503 276.0 2
12.4101811107 293.0 1
9.36705716861 276.0 1
0.6096 276.0 163
13.4250473966 293.0 1
10.3811139287 276.0 1
1.18484942503 276.0 185
14.44007313 293.0 1
11.3955168729 276.0 1
2.12147028261 276.0 170
15.4552268958 293.0 1
12.4101811107 276.0 1
3.10836229549 276.0 12
16.4704850202 293.0 1
13.4250473966 276.0 1
4.10946567816 276.0 62
4.10946567816 213.0 14
7.56839022514 270.0 44
14.44007313 257.0 1
3.10836229549 213.0 148
6.55620202556 270.0 42
13.4250473966 257.0 2
2.12147028261 213.0 30
5.54540813647 270.0 16
12.4101811107 257.0 1
1.18484942503 213.0 174
4.53694057708 270.0 72
11.3955168729 257.0 1
0.6096 213.0 163
3.53279212522 270.0 14
10.3811139287 257.0 7
1.18484942503 213.0 150
2.53809428509 270.0 7
9.36705716861 257.0 1
13.4250473966 213.0 36
7.66966448549 270.0 174
7.13807790375 257.0 2
12.4101811107 213.0 17
6.65736858826 270.0 211
6.12640417864 257.0 2
11.3955168729 213.0 1
5.64640343227 270.0 199
5.116445266 257.0 6
10.3811139287 213.0 1
4.63763936933 270.0 222
4.10946567816 257.0 1
9.36705716861 213.0 1
3.63291042004 270.0 85
3.10836229549 257.0 85
8.3534726671 213.0 1
2.63683319912 270.0 22
2.12147028261 257.0 103
9.36705716861 213.0 1
3.63291042004 270.0 32
1.18484942503 257.0 184
10.3811139287 213.0 1
4.63763936933 270.0 1
0.6096 257.0 219
11.3955168729 213.0 1
5.64640343227 270.0 1
1.18484942503 257.0 190
12.4101811107 213.0 1
6.65736858826 270.0 1
2.12147028261 257.0 204
