Distance Packets_Sent Packets_Received
1.2446 34.0 31
3.29231425596 52.0 45
12.4575283343 35.0 12
1.60663784345 34.0 28
2.3828665846 50.0 25
2.3828665846 35.0 28
1.60663784345 53.0 43
10.4376694429 1.0 1
3.29231425596 32.0 30
1.2446 53.0 41
9.42969654867 3.0 1
4.25030883113 28.0 12
1.60663784345 53.0 49
8.42365256881 47.0 10
5.23024178791 9.0 2
2.3828665846 52.0 40
7.42032210891 35.0 11
3.93577077585 7.0 4
5.74972075148 4.0 2
4.91015572054 35.0 18
4.76288945074 52.0 34
8.90124146398 23.0 8
5.89859973214 18.0 1
3.791497741 15.0 5
6.89505912955 28.0 7
2.85136920093 52.0 31
7.89650011081 33.0 6
1.98737754843 52.0 20
1.2446 52.0 40
1.60663784345 52.0 37
11.4470617103 24.0 7
2.3828665846 49.0 33
3.29231425596 52.0 30
4.25030883113 51.0 41
5.23024178791 12.0 3
4.75251580113 57.0 44
7.93594536776 43.0 15
4.25030883113 43.0 37
3.91926197644 56.0 47
6.97728337392 48.0 22
3.29231425596 36.0 11
3.19363968537 59.0 52
6.03740421705 19.0 6
2.3828665846 44.0 33
4.66489515423 13.0 4
2.66506405927 59.0 51
5.12664881575 32.0 7
1.60663784345 45.0 44
3.69567817863 34.0 16
2.4638 58.0 53
4.26372120102 47.0 31
10.6520526041 3.0 1
1.2446 44.0 44
2.76031512694 48.0 9
2.66506405927 57.0 46
3.48433937497 38.0 11
12.4575283343 46.0 42
7.74604223588 51.0 36
13.6356369811 54.0 21
8.03258685605 52.0 41
7.52667618807 33.0 21
11.4470617103 12.0 1
6.74521856725 51.0 36
8.22273757091 37.0 3
12.6376933607 41.0 20
7.07242920078 49.0 42
6.57506855021 36.0 19
10.4376694429 21.0 12
5.74972075148 43.0 35
7.22008124331 56.0 25
11.642873489 34.0 14
6.13029934016 50.0 38
5.6459463724 37.0 19
9.42969654867 46.0 41
4.76288945074 52.0 52
10.6520526041 56.0 30
5.21597519166 53.0 44
4.75251580113 43.0 32
8.42365256881 12.0 3
3.791497741 47.0 28
5.23024178791 62.0 47
9.66646048355 47.0 4
4.34703765799 52.0 44
3.91926197644 37.0 23
7.42032210891 5.0 3
2.85136920093 41.0 15
4.25030883113 62.0 56
8.68787683384 14.0 1
3.55690702718 37.0 8
3.19363968537 40.0 38
8.42365256881 15.0 1
3.791497741 4.0 1
3.29231425596 62.0 48
