Distance Packets_Sent Packets_Received
1.2446 30.0 27
3.29231425596 24.0 17
12.4575283343 3.0 1
1.60663784345 29.0 18
2.3828665846 15.0 9
2.3828665846 30.0 28
1.60663784345 23.0 22
10.4376694429 34.0 13
3.29231425596 29.0 20
1.2446 24.0 21
4.25030883113 29.0 20
1.60663784345 17.0 13
8.42365256881 31.0 18
5.23024178791 20.0 6
2.3828665846 20.0 14
7.42032210891 35.0 25
6.89505912955 10.0 2
3.93577077585 21.0 8
5.74972075148 32.0 26
4.91015572054 6.0 1
4.76288945074 26.0 2
3.791497741 24.0 5
2.85136920093 34.0 30
1.98737754843 27.0 18
1.2446 37.0 37
1.60663784345 35.0 33
2.3828665846 36.0 32
3.29231425596 35.0 30
4.25030883113 23.0 4
5.23024178791 21.0 2
7.64577972479 29.0 2
4.75251580113 22.0 11
14.6360653961 22.0 3
15.4932712943 11.0 6
6.97728337392 22.0 14
13.6356369811 26.0 1
5.65057239578 27.0 19
3.19363968537 21.0 3
6.03740421705 36.0 2
2.3828665846 25.0 22
13.4688275139 25.0 24
2.66506405927 34.0 13
11.642873489 27.0 22
1.60663784345 14.0 1
3.69567817863 25.0 20
12.4575283343 27.0 8
4.26372120102 28.0 26
1.2446 26.0 20
2.76031512694 37.0 10
2.66506405927 20.0 13
3.48433937497 4.0 1
9.66646048355 19.0 14
12.4575283343 35.0 18
9.22831323482 25.0 14
13.6356369811 11.0 5
8.03258685605 9.0 1
7.52667618807 37.0 18
11.4470617103 21.0 4
6.74521856725 28.0 20
8.22273757091 16.0 5
12.6376933607 16.0 2
7.07242920078 37.0 31
10.4376694429 10.0 1
5.74972075148 23.0 15
7.22008124331 25.0 18
11.642873489 37.0 31
6.13029934016 32.0 12
9.42969654867 24.0 15
4.76288945074 22.0 5
6.22175579399 35.0 19
10.6520526041 27.0 5
4.75251580113 23.0 10
3.791497741 37.0 20
5.23024178791 32.0 25
4.34703765799 20.0 16
7.42032210891 37.0 12
2.85136920093 31.0 27
8.68787683384 23.0 21
3.19363968537 33.0 6
8.42365256881 32.0 23
3.791497741 2.0 1
3.29231425596 24.0 24
4.34703765799 34.0 2
2.66506405927 32.0 28
4.76288945074 20.0 15
2.3828665846 24.0 16
10.6520526041 33.0 1
2.4638 23.0 12
5.74972075148 26.0 19
1.60663784345 36.0 3
6.13029934016 26.0 18
11.4470617103 26.0 21
12.6376933607 27.0 19
3.19363968537 23.0 14
5.6459463724 37.0 9
7.93594536776 13.0 1
16.6425831853 26.0 19
7.64577972479 25.0 19
14.4807848199 30.0 4
6.97728337392 27.0 25
15.6385017403 18.0 1
3.29231425596 25.0 21
6.64538952959 26.0 8
3.91926197644 26.0 22
14.6360653961 26.0 24
2.3828665846 37.0 17
12.4575283343 26.0 20
3.19363968537 17.0 1
5.12664881575 26.0 13
13.6356369811 37.0 29
4.66489515423 26.0 15
11.4470617103 10.0 3
2.66506405927 26.0 23
4.26372120102 36.0 26
12.6376933607 31.0 18
1.2446 27.0 15
3.69567817863 12.0 3
10.4376694429 25.0 24
2.4638 37.0 34
3.48433937497 9.0 2
11.642873489 14.0 3
1.60663784345 18.0 3
2.76031512694 23.0 8
9.42969654867 37.0 26
12.6376933607 25.0 14
9.47011332773 9.0 3
7.74604223588 36.0 35
7.22008124331 32.0 18
7.07242920078 22.0 19
8.49321461168 26.0 23
12.4575283343 36.0 34
6.74521856725 32.0 25
6.22175579399 13.0 1
10.6520526041 22.0 20
6.13029934016 25.0 17
7.52667618807 37.0 32
11.4470617103 32.0 30
5.23024178791 27.0 27
5.21597519166 36.0 30
6.57506855021 31.0 16
4.76288945074 22.0 6
4.25030883113 15.0 1
8.68787683384 37.0 25
4.34703765799 30.0 23
9.42969654867 22.0 19
3.791497741 29.0 25
3.29231425596 21.0 14
3.55690702718 30.0 26
4.75251580113 8.0 8
8.42365256881 35.0 18
2.85136920093 29.0 26
2.3828665846 9.0 3
8.68787683384 2.0 1
4.34703765799 30.0 21
3.91926197644 20.0 18
9.42969654867 23.0 15
3.791497741 28.0 12
1.60663784345 23.0 18
9.66646048355 37.0 33
5.21597519166 27.0 17
3.19363968537 24.0 20
4.76288945074 29.0 13
1.2446 12.0 5
10.6520526041 35.0 19
6.13029934016 26.0 13
2.66506405927 8.0 2
11.4470617103 37.0 34
1.60663784345 12.0 10
11.642873489 35.0 23
7.07242920078 30.0 1
2.4638 23.0 12
12.4575283343 33.0 24
6.74521856725 6.0 2
1.2446 36.0 30
1.60663784345 36.0 30
2.3828665846 34.0 17
3.29231425596 34.0 28
4.25030883113 34.0 14
5.23024178791 25.0 7
