Distance Packets_Sent Packets_Received
5.1106415879 31.0 19
8.15545706138 26.0 7
4.34659239405 53.0 34
7.22597635479 4.0 1
3.70561539289 24.0 12
6.32317172628 32.0 8
3.26110678145 57.0 50
5.46029111678 37.0 9
3.0988 58.0 52
4.6595675207 39.0 15
3.26110678145 56.0 42
4.12177125518 43.0 27
4.34659239405 8.0 8
4.85219784015 55.0 37
3.70561539289 51.0 32
7.31788943617 34.0 27
5.67125748666 55.0 28
3.26110678145 52.0 36
6.41192802517 21.0 4
6.54576283408 32.0 5
3.0988 52.0 45
5.54424460139 12.0 6
7.45623046049 41.0 6
3.26110678145 52.0 45
4.73592518944 31.0 17
8.8888387813 43.0 5
3.70561539289 37.0 34
4.73592518944 51.0 41
3.26110678145 43.0 40
10.8165833644 11.0 1
5.54424460139 31.0 20
3.0988 43.0 39
3.26110678145 43.0 37
7.31788943617 42.0 7
3.70561539289 35.0 21
5.95054295338 19.0 1
5.1106415879 46.0 38
7.22597635479 2.0 2
4.34659239405 37.0 15
3.70561539289 45.0 42
3.26110678145 42.0 21
4.6595675207 48.0 25
3.0988 47.0 35
3.95889781126 17.0 6
11.7935895333 30.0 2
12.7766797127 46.0 40
8.24952741677 47.0 34
11.7935895333 16.0 6
7.31788943617 46.0 9
8.69867492438 5.0 1
10.8165833644 19.0 2
6.41192802517 48.0 42
7.75777709399 31.0 1
9.84747222794 35.0 13
5.54424460139 46.0 26
6.83840459757 3.0 1
8.8888387813 44.0 32
4.73592518944 49.0 35
5.95054295338 60.0 40
7.94447685376 20.0 2
4.02291419247 48.0 35
5.1106415879 55.0 31
4.73592518944 48.0 26
4.34659239405 62.0 51
5.54424460139 22.0 11
3.70561539289 59.0 44
6.41192802517 17.0 1
3.26110678145 60.0 23
3.0988 61.0 49
