Distance Packets_Sent Packets_Received
5.1106415879 24.0 17
14.7562414347 27.0 21
7.22597635479 28.0 20
3.70561539289 27.0 22
12.7766797127 28.0 26
5.46029111678 28.0 22
3.0988 25.0 13
10.8165833644 20.0 8
4.12177125518 4.0 1
4.34659239405 14.0 1
8.24952741677 12.0 2
4.85219784015 7.0 2
7.31788943617 24.0 24
5.67125748666 4.0 1
3.26110678145 17.0 3
6.54576283408 25.0 24
5.54424460139 26.0 26
3.26110678145 25.0 25
3.70561539289 25.0 14
3.26110678145 25.0 8
3.0988 26.0 18
11.7935895333 34.0 4
3.26110678145 25.0 11
12.7766797127 36.0 8
3.70561539289 25.0 23
5.95054295338 36.0 9
16.7483678632 26.0 25
5.1106415879 37.0 27
7.22597635479 22.0 2
15.7510313212 22.0 13
4.34659239405 37.0 26
6.32317172628 25.0 4
14.7562414347 23.0 4
3.70561539289 37.0 21
5.46029111678 30.0 7
13.7645503697 24.0 15
3.26110678145 37.0 30
12.7766797127 22.0 13
3.0988 36.0 22
3.95889781126 31.0 3
12.7766797127 33.0 3
8.24952741677 32.0 13
11.7935895333 34.0 13
7.31788943617 26.0 16
6.41192802517 27.0 9
9.84747222794 31.0 2
5.54424460139 32.0 30
6.83840459757 20.0 1
4.73592518944 31.0 23
