Timestamp Beacon
0.011972 51
0.020795 42
0.023088 36
0.024137 24
0.024847 48
0.027538 26
0.030717 28
0.038439 43
0.048013 47
0.058667 23
0.059808 20
0.0641 1
0.07249 7
0.074492 4
0.078729 21
0.090235 25
0.090888 38
0.09253 8
0.094753 55
0.096977 49
0.098504 5
0.100143 3
0.101197 52
0.105283 11
0.108837 34
0.118673 32
0.119817 51
0.125591 36
0.126885 24
0.127539 26
0.145279 56
0.151067 47
0.164223 1
0.168964 20
0.177393 4
0.179369 10
0.18758 21
0.190297 12
0.196427 22
0.197017 2
0.199787 5
0.201486 3
0.202197 49
0.217033 9
0.225098 51
0.226731 32
0.22818 26
0.234208 29
0.253978 56
0.269197 1
0.278494 4
0.294662 21
0.295691 27
0.298453 2
0.301711 5
0.302208 8
0.306003 3
0.309523 49
0.317251 52
0.317858 9
0.332851 26
0.334605 32
0.336579 28
0.341868 29
0.358373 56
0.362331 47
0.37106 1
0.376796 7
0.378182 20
0.381548 4
0.385414 10
0.399485 21
0.401907 53
0.405434 5
0.407178 55
0.409085 3
0.410265 8
0.410897 31
0.419107 49
0.42299 52
0.424528 46
0.426526 9
0.433737 26
0.44305 28
0.449254 29
0.45896 6
0.461548 56
0.467124 47
0.479269 1
0.485537 20
0.486432 4
0.491153 10
0.492195 18
0.506323 21
0.51028 27
0.511832 3
0.517219 55
0.519239 8
0.522527 49
0.529186 52
0.53167 46
0.532904 9
0.543747 26
0.545502 32
0.550673 50
0.553212 28
0.555205 29
0.565857 6
0.567767 47
0.569548 57
0.571711 56
0.584519 1
0.587754 7
0.590665 20
0.593386 18
0.595985 4
0.601225 10
0.610506 21
0.613736 5
0.614693 2
0.619981 3
0.624329 49
0.628312 34
0.634906 46
0.639289 52
0.647445 36
0.653315 32
0.655298 29
0.658212 50
0.662338 28
0.667891 47
0.668482 6
0.675038 56
0.692028 7
0.694041 1
0.694546 18
0.696708 20
0.704196 4
0.717587 21
0.721367 5
0.72343 3
0.727866 22
0.734501 8
0.736583 34
0.741512 9
0.748232 52
0.75475 32
0.755725 29
0.75623 26
0.757303 36
0.763015 43
0.76475 28
0.766362 50
0.780654 56
0.79212 7
0.79569 1
0.799639 20
0.808532 4
0.814655 10
0.819148 25
0.821269 27
0.825078 3
0.827227 5
0.833885 49
0.837279 8
0.840005 46
0.848562 9
0.850957 51
0.852963 52
0.859327 29
0.861923 32
0.883885 23
0.890848 56
0.894776 7
0.905456 1
0.908611 20
0.910547 4
0.914454 40
0.917098 10
0.925598 3
0.928274 25
0.928849 31
0.933705 55
0.934532 58
0.935864 22
0.936688 5
0.940332 8
0.943439 49
0.948368 46
0.958512 9
0.965281 32
0.969246 29
0.984833 47
0.994572 56
1.007471 1
1.011267 20
1.013509 4
1.02717 10
1.028558 3
1.030259 25
1.032929 27
1.035296 58
1.039047 55
1.044502 22
1.046148 5
1.050063 49
1.054898 42
1.056578 46
1.064755 51
1.066241 52
1.067546 9
1.072514 32
1.074587 29
1.076287 36
1.08086 26
1.086918 6
1.090969 47
1.092311 23
1.095076 35
1.099692 7
1.103026 56
1.115205 20
1.116046 1
1.119401 4
1.129339 10
1.133099 25
1.135538 21
1.136806 27
1.138471 58
1.14 2
1.142405 55
1.144294 30
1.147311 22
1.152511 8
1.153726 49
1.154633 5
1.15905 42
1.165977 51
1.168684 52
1.171147 9
1.178372 29
1.182482 36
1.18875 6
1.193656 47
1.200856 23
1.203896 35
1.206529 7
1.21297 13
1.217817 1
1.235085 25
1.239784 58
1.242566 3
1.243535 21
1.245424 30
1.24674 55
1.249706 2
1.252103 22
1.252731 53
1.256343 5
1.259379 8
1.259936 42
1.260564 49
1.270556 51
1.275512 9
1.276833 52
1.2792 32
1.28414 29
1.293135 28
1.295068 6
1.306107 23
1.311069 35
1.31654 7
1.323169 56
1.325142 1
1.325713 60
1.328298 20
1.330208 4
1.340511 10
1.342881 27
1.344027 25
1.345822 30
1.346957 58
1.348176 55
1.356924 5
1.360057 53
1.363173 42
1.366517 49
1.36701 8
1.369645 16
1.373854 46
1.375228 51
1.380069 52
1.380788 32
1.383204 9
1.386818 59
1.390581 33
1.393387 29
1.394568 36
1.397572 6
1.398567 28
1.419401 35
1.424325 13
1.428358 56
1.429598 1
1.431625 20
1.437503 4
1.44332 10
1.444426 25
1.445253 3
1.446892 31
1.450223 55
1.45239 58
1.454153 30
1.4608 5
1.46604 53
1.466775 42
1.471035 49
1.474069 46
1.47553 11
1.482218 51
1.484848 32
1.48535 52
1.48849 24
1.494028 29
1.495517 50
1.500685 6
1.503329 28
1.506041 26
1.509497 23
1.512582 47
1.524956 35
1.530789 1
1.533366 20
1.536537 56
1.542296 4
1.542779 40
1.547083 25
1.547716 10
1.55096 12
1.553729 31
1.555228 21
1.562178 22
1.563431 30
1.575748 42
1.580498 49
1.582917 11
1.583828 8
1.585443 52
1.590459 51
1.593459 9
1.594248 32
